customer_id,name,email,phone,location,signup_date,is_premium,preferred_cusine,total_orders,average_rating
c20cd0bc-ed21-4354-bd48-5679825c671e,Jeremy Montoya,butleralexandra@example.com,808.459.0660x15330,Port Aaron,2020-02-04,False,Chinese,89,2.7055222329822444
ddd3d06c-3ada-4805-b13c-7548feb4399d,Keith Barber,patrick14@example.net,8645217693,Stonemouth,2021-05-24,False,French,66,1.0435950101701041
b4d098b5-7b44-4881-864a-f9330f98cb7d,Brandon Hill,acevedodawn@example.com,388-956-9070,Clarkview,2022-09-28,True,Chinese,24,1.2430926261328725
a7ce07e4-bf40-4723-9ff3-f92085ceb3f7,Whitney Phillips,acostalisa@example.net,001-354-395-6099,Lake Brian,2022-06-24,False,French,81,1.0296241871510556
0061c6ed-747f-49e1-8cf7-3ed446bcabb1,Monica Wright,douglas48@example.com,(688)267-3197x23612,Taylorshire,2022-01-18,True,Mexican,27,4.748075527409056
ab1f62c4-aea6-4588-98a5-8cae671b6649,Anthony Fields,amyreyes@example.net,(808)970-8347,Rhondatown,2020-09-01,True,Indian,50,1.6443074688615176
35dfb242-44e7-4818-83d1-7aa2fa9995e5,Madison Maldonado,kristin85@example.net,(262)661-6830x154,Fuentesburgh,2023-03-20,True,Mexican,27,3.5505739463781993
a3154305-adae-4782-ae08-8f56b7c3a134,Rebecca Freeman,rodriguezchristie@example.net,+1-256-620-0195x769,East Makayla,2023-03-24,False,Italian,57,4.984092293588065
171e776d-1fb0-492b-a1c5-bd1a6c959f35,Rachel Cook,nnicholson@example.net,+1-768-460-7319x54847,Clarkshire,2023-03-18,True,Italian,25,1.352585794694026
4f61d8ea-b91b-42e8-8fb5-b966c04011b5,Vanessa Chandler,jmejia@example.net,871-377-8357x38900,Carrieport,2021-07-24,False,Indian,75,1.1888769660199814
f424dfc3-ed22-49a5-8d0d-a80d41613336,Cathy Johnson,danielleholland@example.com,270.481.2146,Andrewshire,2021-05-25,False,Italian,69,3.0884289165421457
f3e50108-c6ec-4787-ab85-772ab4f94078,Christian Smith PhD,estesjohn@example.com,881-628-3880x880,South Christina,2024-02-24,False,Italian,5,3.8444655144755933
cb137200-8e75-43a3-9cf3-2615bcc012e0,Tanya Lambert MD,lmiller@example.com,+1-409-988-3280x95146,Bestview,2020-05-20,False,Mexican,21,3.163595505586598
7f175cb3-5dc1-46cc-b64f-778eb8132852,Ashley Meyer,emily00@example.net,(393)510-9877,South Aaron,2022-06-19,True,American,41,1.8032863952282492
7ec03617-ab66-4b0c-b2d1-49c274c224cb,Luis Blanchard,matthew25@example.org,(453)944-9797x966,West Kristen,2021-12-15,True,American,31,3.3240173460047626
08bf3e2c-1239-42f9-9f70-d03678221acb,Tara Garcia,benjamin35@example.org,493.517.7326x61481,Tranchester,2022-05-19,True,American,63,1.3946587797673606
859a506a-5849-4628-b7a8-82db1ec1f598,Michelle Humphrey,ngarcia@example.net,6086525305,West Jasminemouth,2021-12-06,False,Indian,28,4.252277912900003
8fbb7e9a-24d2-4429-8bdf-b658f16c1915,Katie Page,aliciaperez@example.net,665.730.0086,Port Stephanieberg,2022-10-17,True,American,42,4.664876793281302
4b693d24-cf80-4987-9a2e-7b3e868d7e4b,Amy Rojas,mcintoshpeter@example.net,+1-526-828-5871x078,South Kathleenhaven,2020-01-20,False,Italian,86,2.287533120950973
a181372c-4919-4a27-ae84-153c696b0ea2,Donna Smith,jenniferleonard@example.org,+1-225-518-3855x9524,Lake Michaeltown,2024-02-06,False,Chinese,66,2.335188209357906
f5ea7987-d9d6-483c-b80d-d6d4fae014f3,Aaron Paul,lbrown@example.com,480.788.1494,Millerville,2023-09-09,False,Italian,10,2.9841968786743007
ba7efa9a-1304-475e-9ed5-cf09585e023f,David Benson,michael29@example.com,001-583-995-9946x368,East Sarah,2023-01-31,True,Mexican,6,1.5306603562346583
0edcba8a-b051-47f7-bbec-247699a50abd,Emma Ochoa,tammy23@example.net,327-630-4843,West Heidibury,2020-11-13,True,Italian,91,2.207180760491178
856ea27e-4fa6-4cd0-b45d-eb94b7f69966,Christian Mann,hurstlisa@example.org,001-382-597-3761x6111,South Sandra,2021-09-05,True,Indian,33,1.3056120483404747
d8817446-3c02-4221-9ba8-29528097b3ef,Teresa Hale,lorichristensen@example.net,(725)417-0955,Davidview,2024-01-23,False,French,92,1.6129549058947092
fef9e256-5203-409b-9886-49e378b61fdc,Jennifer Gray,marcusgonzalez@example.org,(318)726-2788x531,East Nicholasbury,2020-01-27,True,Mexican,26,1.2249388612408758
ebef5e57-8669-4ac2-850c-d319c1b8162c,Amanda Cummings,david34@example.com,525.246.3830x839,Staceymouth,2024-02-13,False,Mexican,25,4.053092750884357
7f21a1d4-7caa-4410-b976-5504f4e9c313,Daniel Higgins,danielle32@example.com,579-336-3426,Johnsonland,2024-08-27,False,Chinese,45,4.769173042127054
945fe773-08a0-487e-bbeb-3851a4fee4a1,Andrew Phillips,uobrien@example.net,(929)669-0065x681,Courtneyborough,2022-12-16,True,Chinese,34,2.6139658923110485
1e0d35b8-b03e-4310-aea8-4451bc66a99e,Melinda Edwards,ywilliamson@example.com,(763)650-9245x999,North Rickland,2020-01-02,False,American,14,1.6447830554030856
0f0dc54c-4d79-4b41-aedf-4db335fef0ff,Debra Fisher,amanda51@example.org,6538644814,South Lindsey,2023-07-23,True,Mexican,59,1.9738546566231774
370dbd75-9206-4cec-ac81-901cac39c1c1,Adrian Rios,donald92@example.org,+1-777-241-5199x794,Susanton,2023-12-17,True,Indian,43,3.10508192272773
b9c39703-0743-4271-a5a3-1912f1c4bbdc,Daniel Johnson,byrdmichelle@example.net,789.497.4583,Bryceside,2021-09-08,False,Mexican,39,1.985933265780246
5b0be1f6-8ccd-4768-95bc-987c15aa0974,Jason Wiley,kevinreed@example.org,803.827.1756x9610,North Anthony,2020-11-16,False,Indian,98,3.2212423151258016
7fc80e45-5bd4-49d7-bdfc-17dbf93f6ef7,Teresa Webb,jorgecastaneda@example.net,(987)267-0715,West Sheribury,2022-12-26,False,French,38,3.554548783050383
